fixture_id,fotmob_match_id,team_name,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,substitutes_avg_rating,formation,team_goals,team_assists,team_shots,team_shots_on_target,team_chances_created,team_expected_goals,shots_on_target_rate,goals_per_shot,goals_minus_xg,team_tackles,team_interceptions,team_clearances,goals_conceded,expected_goals_against,yellow_cards,red_cards,best_player_rating,worst_starter_rating,avg_player_rating,total_player_minutes,goal_contributions,substitute_goal_contributions
537400,4667814,Jordan,6.7309090909090905,74.03999999999999,87.54545454545455,963.0,5.98,3-4-2-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.3,5.85,7.0,0.0,0.0,
537401,4667816,Argentina,7.142727272727272,78.57,79.45454545454545,874.0,6.8825,4-1-3-2,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.1,6.3,6.75,0.0,0.0,
537401,4667816,Jordan,6.407272727272727,70.47999999999999,80.36363636363636,884.0,6.416666666666667,3-4-2-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.1,4.92,6.75,0.0,0.0,
537402,4667817,Algeria,6.8536363636363635,75.39000000000001,84.72727272727273,932.0,6.246666666666667,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,6.7,3.77,6.6,0.0,0.0,
537402,4667817,Austria,6.455454545454546,71.01,75.0909090909091,826.0,6.6525,4-2-3-1,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,6.7,5.53,6.6,0.0,0.0,
537403,4667819,Congo DR,6.959090909090909,76.55000000000001,83.18181818181819,915.0,6.333333333333333,5-3-2,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,6.28,6.8,0.0,0.0,
537403,4667819,Portugal,6.911818181818182,76.03,81.9090909090909,901.0,6.176666666666667,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.8,5.67,6.8,0.0,0.0,
537404,4667820,Colombia,7.269090909090909,79.96,86.36363636363636,950.0,6.753333333333333,4-3-3,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.2,5.79,6.7,0.0,0.0,
537404,4667820,Uzbekistan,6.159090909090909,67.75,79.36363636363636,873.0,6.255,3-4-2-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.2,4.99,6.7,0.0,0.0,
537405,4667822,Portugal,7.78,85.58,77.45454545454545,852.0,6.645,4-2-3-1,5.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.5,6.79,6.75,0.0,0.0,
537405,4667822,Uzbekistan,5.899090909090909,64.89,80.0909090909091,881.0,6.1499999999999995,5-4-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,5.0,,0.0,0.0,7.5,4.5,6.75,0.0,0.0,
537406,4667821,Colombia,7.511818181818182,82.63,83.0,913.0,6.489999999999999,4-3-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.3,6.2,6.85,0.0,0.0,
537406,4667821,Congo DR,6.377272727272728,70.15,78.9090909090909,868.0,6.324999999999999,5-3-2,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.3,5.35,6.85,0.0,0.0,
537407,4667823,Colombia,7.158181818181817,78.74,81.72727272727273,899.0,6.085,4-3-3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,6.1,6.9,0.0,0.0,
537407,4667823,Portugal,7.007272727272727,77.08,78.0909090909091,859.0,6.59,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,6.34,6.9,0.0,0.0,
537408,4667824,Congo DR,7.386363636363637,81.25,80.9090909090909,890.0,6.7225,4-4-2,3.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.2,6.06,6.9,0.0,0.0,
537408,4667824,Uzbekistan,6.685454545454546,73.54,81.36363636363636,895.0,6.3,5-4-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,7.2,5.66,6.9,0.0,0.0,
537409,4667825,Croatia,6.800909090909091,74.80999999999999,80.54545454545455,886.0,6.208,3-4-2-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,4.0,,0.0,0.0,7.1,5.68,6.85,0.0,0.0,
537409,4667825,England,7.134545454545455,78.48,83.9090909090909,923.0,6.985,4-2-3-1,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.1,6.07,6.85,0.0,0.0,
537410,4667826,Ghana,7.100909090909091,78.11,78.72727272727273,866.0,6.9799999999999995,4-4-1-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.1,6.17,6.8,0.0,0.0,
537410,4667826,Panama,6.561818181818182,72.17999999999999,83.54545454545455,919.0,6.406666666666666,3-4-3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.1,5.66,6.8,0.0,0.0,
537411,4667828,England,7.08909090909091,77.97999999999999,81.9090909090909,901.0,6.4399999999999995,4-2-3-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,6.02,6.800000000000001,0.0,0.0,
537411,4667828,Ghana,6.732727272727273,74.06,85.45454545454545,940.0,6.32,4-3-3,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,5.74,6.800000000000001,0.0,0.0,
537412,4667827,Croatia,7.205454545454546,79.25999999999999,77.72727272727273,855.0,6.532500000000001,4-2-3-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,6.28,6.75,0.0,0.0,
