fixture_id,fotmob_match_id,team_name,formation,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,worst_starter_rating,substitutes_avg_rating
537366,4667792,New Zealand,4-2-3-1,6.194545454545454,68.14,84.36363636363636,928.0,5.55,6.29
537367,4667794,Belgium,4-2-3-1,7.675454545454545,84.43,82.72727272727273,910.0,6.73,6.963333333333334
537367,4667794,New Zealand,4-2-3-1,5.49,60.39000000000001,76.0909090909091,837.0,3.28,6.21
537368,4667795,Egypt,4-2-3-1,6.948181818181817,76.43,70.63636363636364,777.0,5.75,6.575999999999999
537368,4667795,Iran,5-4-1,6.902727272727273,75.93,83.72727272727273,921.0,5.98,6.475
537369,4667798,Cape Verde,4-1-4-1,7.008181818181819,77.09000000000002,79.81818181818181,878.0,5.95,6.287999999999999
537369,4667798,Spain,4-3-3,7.414545454545455,81.56,85.45454545454545,940.0,6.21,6.555
537370,4667799,Saudi Arabia,4-4-2,6.850909090909091,75.36,86.45454545454545,951.0,6.31,6.46
537370,4667799,Uruguay,4-4-2,7.016363636363636,77.17999999999999,79.27272727272727,872.0,5.56,6.816666666666667
537371,4667801,Saudi Arabia,5-4-1,5.884545454545455,64.73,76.27272727272727,839.0,4.5,6.3774999999999995
537371,4667801,Spain,4-1-2-3,7.955454545454546,87.50999999999999,74.72727272727273,822.0,7.0,6.218
